dataset,model,method,scope,seed,steps,eval_every,hidden,layers,dropout,pretrain_steps,pretrain_fraction,learning_rate,total_parameters,trainable_parameters,nodes,edges,features,classes,optimization_forwards,backward_passes,wall_seconds,milliseconds_per_step,peak_rss_mb,incremental_peak_rss_mb,train_accuracy,train_macro_f1,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,step_unit,temperature,edge_direction,initial_test_accuracy,accuracy_delta,source_file
CiteSeer,gcn,bp,all,41,500,50,64,2,0.0,0,0.0,0.01,237446,237446,3327,9104,3703,6,500,500,18.122309041995322,36.244618083990645,479.78125,42.4375,1.0,1.0,0.7160000205039978,0.6779325604438782,0.7149999737739563,0.6874740123748779,full_network_update,,,0.1809999942779541,0.5339999794960022,results/scratch/CiteSeer_gcn_bp_all_pre0_frac0_seed41.json
CiteSeer,gcn,bp,all,42,500,50,64,2,0.0,0,0.0,0.01,237446,237446,3327,9104,3703,6,500,500,18.098467042000266,36.19693408400053,477.453125,44.171875,1.0,1.0,0.7120000123977661,0.675929069519043,0.7129999995231628,0.6869375705718994,full_network_update,,,0.23100000619888306,0.4819999933242798,results/scratch/CiteSeer_gcn_bp_all_pre0_frac0_seed42.json
CiteSeer,gcn,bp,all,43,500,50,64,2,0.0,0,0.0,0.01,237446,237446,3327,9104,3703,6,500,500,18.151740750006866,36.30348150001373,478.65625,42.28125,1.0,1.0,0.7120000123977661,0.6759605407714844,0.7110000252723694,0.6852726936340332,full_network_update,,,0.16899999976158142,0.542000025510788,results/scratch/CiteSeer_gcn_bp_all_pre0_frac0_seed43.json
CiteSeer,gcn,bp,all,44,500,50,64,2,0.0,0,0.0,0.01,237446,237446,3327,9104,3703,6,500,500,18.13243875000626,36.26487750001252,479.375,44.84375,1.0,1.0,0.7120000123977661,0.6765860915184021,0.7120000123977661,0.6845555901527405,full_network_update,,,0.23100000619888306,0.48100000619888306,results/scratch/CiteSeer_gcn_bp_all_pre0_frac0_seed44.json
CiteSeer,gcn,bp,all,45,500,50,64,2,0.0,0,0.0,0.01,237446,237446,3327,9104,3703,6,500,500,18.11735862500791,36.23471725001582,476.46875,39.125,1.0,1.0,0.7080000042915344,0.6720159649848938,0.7110000252723694,0.6850822567939758,full_network_update,,,0.07699999958276749,0.6340000256896019,results/scratch/CiteSeer_gcn_bp_all_pre0_frac0_seed45.json
Cora,gcn,bp,all,41,500,50,64,2,0.0,0,0.0,0.01,92231,92231,2708,10556,1433,7,500,500,6.610073584000929,13.220147168001859,411.359375,40.953125,1.0,1.0,0.7820000052452087,0.7660789489746094,0.8040000200271606,0.7928496599197388,full_network_update,,,0.14399999380111694,0.6600000262260437,results/scratch/Cora_gcn_bp_all_pre0_frac0_seed41.json
Cora,gcn,bp,all,42,500,50,64,2,0.0,0,0.0,0.01,92231,92231,2708,10556,1433,7,500,500,6.665041707994533,13.330083415989066,412.296875,40.3125,1.0,1.0,0.7839999794960022,0.7673619985580444,0.8050000071525574,0.7939305901527405,full_network_update,,,0.3190000057220459,0.4860000014305115,results/scratch/Cora_gcn_bp_all_pre0_frac0_seed42.json
Cora,gcn,bp,all,43,500,50,64,2,0.0,0,0.0,0.01,92231,92231,2708,10556,1433,7,500,500,6.645182708001812,13.290365416003624,413.6875,41.453125,1.0,1.0,0.7820000052452087,0.7660789489746094,0.8059999942779541,0.7943930625915527,full_network_update,,,0.09200000017881393,0.7139999940991402,results/scratch/Cora_gcn_bp_all_pre0_frac0_seed43.json
Cora,gcn,bp,all,44,500,50,64,2,0.0,0,0.0,0.01,92231,92231,2708,10556,1433,7,500,500,6.64344387500023,13.28688775000046,411.984375,41.90625,1.0,1.0,0.7839999794960022,0.7673619985580444,0.8090000152587891,0.7977710366249084,full_network_update,,,0.09099999815225601,0.718000017106533,results/scratch/Cora_gcn_bp_all_pre0_frac0_seed44.json
Cora,gcn,bp,all,45,500,50,64,2,0.0,0,0.0,0.01,92231,92231,2708,10556,1433,7,500,500,6.673844832999748,13.347689665999496,412.75,40.5625,1.0,1.0,0.7839999794960022,0.7673619985580444,0.8029999732971191,0.7917762398719788,full_network_update,,,0.14399999380111694,0.6589999794960022,results/scratch/Cora_gcn_bp_all_pre0_frac0_seed45.json
CiteSeer,gcn,bp,all,41,500,50,64,2,0.0,200,0.5,0.01,237446,237446,3327,9104,3703,6,500,500,18.08136804201058,36.16273608402116,478.9375,3.171875,1.0,1.0,0.6899999976158142,0.6491336226463318,0.6729999780654907,0.6425416469573975,full_network_update,,,0.671999990940094,0.0009999871253967285,results/staged/CiteSeer_gcn_bp_all_pre200_frac0.5_seed41.json
CiteSeer,gcn,bp,all,42,500,50,64,2,0.0,200,0.5,0.01,237446,237446,3327,9104,3703,6,500,500,18.09988437499851,36.19976874999702,480.578125,6.234375,1.0,1.0,0.6399999856948853,0.6033670902252197,0.6690000295639038,0.6435496807098389,full_network_update,,,0.6700000166893005,-0.0009999871253967285,results/staged/CiteSeer_gcn_bp_all_pre200_frac0.5_seed42.json
CiteSeer,gcn,bp,all,43,500,50,64,2,0.0,200,0.5,0.01,237446,237446,3327,9104,3703,6,500,500,18.100829707997036,36.20165941599407,477.015625,0.046875,1.0,1.0,0.6579999923706055,0.6249228119850159,0.6600000262260437,0.6372869610786438,full_network_update,,,0.6919999718666077,-0.031999945640563965,results/staged/CiteSeer_gcn_bp_all_pre200_frac0.5_seed43.json
CiteSeer,gcn,bp,all,44,500,50,64,2,0.0,200,0.5,0.01,237446,237446,3327,9104,3703,6,500,500,18.037823334001587,36.07564666800317,480.765625,0.734375,1.0,1.0,0.6499999761581421,0.6000917553901672,0.6769999861717224,0.6221268773078918,full_network_update,,,0.6549999713897705,0.022000014781951904,results/staged/CiteSeer_gcn_bp_all_pre200_frac0.5_seed44.json
CiteSeer,gcn,bp,all,45,500,50,64,2,0.0,200,0.5,0.01,237446,237446,3327,9104,3703,6,500,500,18.09120100000291,36.18240200000582,480.234375,0.046875,1.0,1.0,0.6819999814033508,0.6422076225280762,0.6779999732971191,0.6404544115066528,full_network_update,,,0.6729999780654907,0.004999995231628418,results/staged/CiteSeer_gcn_bp_all_pre200_frac0.5_seed45.json
Cora,gcn,bp,all,41,500,50,64,2,0.0,200,0.5,0.01,92231,92231,2708,10556,1433,7,500,500,6.675265917001525,13.35053183400305,412.0,0.640625,1.0,1.0,0.7599999904632568,0.7489919066429138,0.7609999775886536,0.7566825151443481,full_network_update,,,0.7910000085830688,-0.030000030994415283,results/staged/Cora_gcn_bp_all_pre200_frac0.5_seed41.json
Cora,gcn,bp,all,42,500,50,64,2,0.0,200,0.5,0.01,92231,92231,2708,10556,1433,7,500,500,6.6283090409997385,13.256618081999477,410.28125,0.96875,1.0,1.0,0.7599999904632568,0.7429004907608032,0.7680000066757202,0.7533855438232422,full_network_update,,,0.7749999761581421,-0.006999969482421875,results/staged/Cora_gcn_bp_all_pre200_frac0.5_seed42.json
Cora,gcn,bp,all,43,500,50,64,2,0.0,200,0.5,0.01,92231,92231,2708,10556,1433,7,500,500,6.651715749991126,13.303431499982253,413.203125,0.09375,1.0,1.0,0.75,0.7476495504379272,0.7680000066757202,0.7645378708839417,full_network_update,,,0.7730000019073486,-0.004999995231628418,results/staged/Cora_gcn_bp_all_pre200_frac0.5_seed43.json
